Time,Source,Sequence #,Tree depth, Light Sensor
22:25:05,160,26,2,28
22:25:15,160,27,2,24
22:25:34,160,29,2,25
22:25:44,160,30,2,25
22:25:54,160,31,2,25
22:26:03,160,32,2,25
22:26:13,160,33,2,25
22:26:23,160,34,2,25
22:26:33,160,35,2,22
22:26:42,160,36,2,25
22:26:52,160,37,2,25
22:27:02,160,38,2,26
22:27:12,160,39,2,25
22:27:22,160,40,2,25
22:27:31,160,41,2,25
22:27:41,160,42,2,26
22:27:51,160,43,2,26
22:28:01,160,44,2,25
22:28:10,160,45,2,28
22:28:20,160,46,2,25
22:28:30,160,47,2,25
22:28:40,160,48,2,25
22:28:49,160,49,2,26
22:28:59,160,50,2,23
22:29:09,160,51,2,25
22:29:19,160,52,2,26
22:29:38,160,54,2,28
22:29:48,160,55,2,25
22:29:58,160,56,2,26
22:30:08,160,57,2,26
22:30:27,160,59,2,27
22:30:37,160,60,2,26
